Date,Latitude,Longitude,Temperature_C
15-04-2025,20.5,84.5,36.35767
15-04-2025,21.5,80.5,38.99743
15-04-2025,21.5,81.5,38.392838
15-04-2025,21.5,82.5,38.13053
15-04-2025,21.5,83.5,37.803207
15-04-2025,21.5,84.5,36.425617
15-04-2025,22.5,80.5,38.055058
15-04-2025,22.5,81.5,38.35633
15-04-2025,22.5,82.5,36.859035
15-04-2025,22.5,83.5,35.893105
15-04-2025,22.5,84.5,34.142036
15-04-2025,23.5,80.5,37.274487
15-04-2025,23.5,81.5,36.16439
15-04-2025,23.5,82.5,36.694588
15-04-2025,23.5,83.5,35.527344
15-04-2025,23.5,84.5,33.889317
15-04-2025,24.5,80.5,37.176453
15-04-2025,24.5,81.5,37.01853
15-04-2025,24.5,82.5,36.176
15-04-2025,24.5,83.5,35.237183
15-04-2025,24.5,84.5,34.48966
16-04-2025,17.5,80.5,36.24091
16-04-2025,17.5,81.5,34.653763
16-04-2025,17.5,82.5,33.611134
16-04-2025,17.5,83.5,33.690197
16-04-2025,17.5,84.5,
16-04-2025,18.5,80.5,37.429985
16-04-2025,18.5,81.5,35.845287
16-04-2025,18.5,82.5,34.820717
16-04-2025,18.5,83.5,34.62441
16-04-2025,18.5,84.5,34.43602
16-04-2025,19.5,80.5,38.819023
16-04-2025,19.5,81.5,38.33347
16-04-2025,19.5,82.5,35.627018
16-04-2025,19.5,83.5,35.507614
16-04-2025,19.5,84.5,35.386337
16-04-2025,20.5,80.5,39.226746
16-04-2025,20.5,81.5,36.6103
16-04-2025,20.5,82.5,37.310448
16-04-2025,20.5,83.5,36.609085
16-04-2025,20.5,84.5,35.88192
16-04-2025,21.5,80.5,38.72851
16-04-2025,21.5,81.5,36.824966
16-04-2025,21.5,82.5,36.68964
16-04-2025,21.5,83.5,36.372437
16-04-2025,21.5,84.5,36.478703
16-04-2025,22.5,80.5,38.078667
16-04-2025,22.5,81.5,36.862465
16-04-2025,22.5,82.5,35.853287
16-04-2025,22.5,83.5,35.20546
16-04-2025,22.5,84.5,35.37466
16-04-2025,23.5,80.5,37.87267
16-04-2025,23.5,81.5,37.03333
16-04-2025,23.5,82.5,36.060772
16-04-2025,23.5,83.5,35.342243
16-04-2025,23.5,84.5,35.722893
16-04-2025,24.5,80.5,38.32579
16-04-2025,24.5,81.5,38.1369
16-04-2025,24.5,82.5,37.43359
16-04-2025,24.5,83.5,36.75609
16-04-2025,24.5,84.5,35.705116
17-04-2025,17.5,80.5,36.670235
17-04-2025,17.5,81.5,35.37928
17-04-2025,17.5,82.5,34.31628
17-04-2025,17.5,83.5,34.088886
17-04-2025,17.5,84.5,
17-04-2025,18.5,80.5,37.82512
17-04-2025,18.5,81.5,36.345135
17-04-2025,18.5,82.5,35.22207
17-04-2025,18.5,83.5,35.10655
17-04-2025,18.5,84.5,35.102478
17-04-2025,19.5,80.5,38.958992
17-04-2025,19.5,81.5,38.50584
17-04-2025,19.5,82.5,35.991116
17-04-2025,19.5,83.5,36.024548
17-04-2025,19.5,84.5,36.04573
